i,RegionName,State,Metro,CountyName,SizeRank,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12455,Louisville,KY,Louisville/Jefferson County,Jefferson County,20,81155.55556,85836.36364,90375,95566.66667,99175,107400,111750,116033.3333,119550,122025,125375,125675,124675,123141.6667,122225,121191.6667,120058.3333,123066.6667,125483.3333,129558.3333,137581.8182,147275,155066.6667,161375
13121,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,21,90666.66667,92309.09091,95925,100875,110733.3333,120483.3333,132200,142041.6667,160675,203150,256075,249683.3333,203083.3333,151025,129366.6667,117033.3333,118300,134383.3333,153591.6667,165916.6667,185690.9091,209125,230191.6667,242487.5
17933,El Paso,TX,El Paso,El Paso County,22,77288.88889,77154.54545,78283.33333,80141.66667,80966.66667,78066.66667,78058.33333,80858.33333,87966.66667,96308.33333,107225,123575,122816.6667,118366.6667,118041.6667,116308.3333,114475,114525,114191.6667,114700,114872.7273,119566.6667,124416.6667,129137.5
11093,Denver,CO,Denver-Aurora-Lakewood,Denver County,23,112822.2222,123545.4545,135075,151283.3333,175600,194900,205366.6667,209941.6667,215766.6667,224016.6667,229958.3333,229650,222316.6667,217516.6667,213016.6667,208650,220275,243191.6667,267750,312133.3333,352290.9091,386466.6667,415525,426350
16037,Seattle,WA,Seattle-Tacoma-Bellevue,King County,24,165077.7778,178718.1818,202675,230616.6667,257766.6667,275050,285891.6667,301983.3333,334116.6667,388783.3333,440450,461350,439216.6667,390508.3333,375291.6667,353366.6667,368425,417233.3333,450841.6667,508975,599690.9091,689791.6667,742983.3333,724937.5
32811,Memphis,TN,Memphis,Shelby County,25,61388.88889,63790.90909,66991.66667,70366.66667,72983.33333,74883.33333,76950,78508.33333,79891.66667,83516.66667,86558.33333,87066.66667,74725,57925,56750,56983.33333,54725,55575,58633.33333,59258.33333,64900,76616.66667,82900,86275
44269,Boston,MA,Boston-Cambridge-Newton,Suffolk County,26,125888.8889,138254.5455,155683.3333,180133.3333,223900,262266.6667,290466.6667,323075,352375,378933.3333,368108.3333,357766.6667,341183.3333,329500,334125,333333.3333,341325,380625,416616.6667,448450,492627.2727,548633.3333,582608.3333,598012.5
41568,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,27,112311.1111,116972.7273,124191.6667,135400,146225,166550,199125,249191.6667,310983.3333,370866.6667,398983.3333,402458.3333,381633.3333,357341.6667,354333.3333,353183.3333,368841.6667,408008.3333,443108.3333,469458.3333,504572.7273,542158.3333,567950,572512.5
13373,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,28,122777.7778,130936.3636,137325,144766.6667,150408.3333,156716.6667,167075,180575,195666.6667,229750,268416.6667,286108.3333,281250,261550,248375,230491.6667,238325,263141.6667,290025,328858.3333,388527.2727,419841.6667,425133.3333,422812.5
6118,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,29,95266.66667,99718.18182,106450,111675,115533.3333,119808.3333,122941.6667,125808.3333,131000,139291.6667,149533.3333,156450,154708.3333,148475,142833.3333,135208.3333,135316.6667,144708.3333,156333.3333,175850,205454.5455,232375,255600,264737.5
20288,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,30,102955.5556,100654.5455,106150,115400,129508.3333,152475,180833.3333,219350,275108.3333,335541.6667,337266.6667,297425,224366.6667,175291.6667,162058.3333,143925,145433.3333,184600,213241.6667,235783.3333,265818.1818,294516.6667,317291.6667,327062.5
3523,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,31,52366.66667,54490.90909,57233.33333,59275,60933.33333,62841.66667,65750,70125,78166.66667,95791.66667,121275,136883.3333,132325,119091.6667,108375,87275,74716.66667,74783.33333,80550,80291.66667,84372.72727,91133.33333,115191.6667,116562.5
5976,Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,32,68711.11111,69727.27273,72833.33333,75658.33333,80458.33333,86583.33333,92316.66667,101325,115441.6667,129183.3333,136650,137083.3333,129350,116658.3333,107200,92650,82166.66667,84841.66667,87091.66667,90091.66667,94136.36364,104083.3333,114775,122812.5
18203,Fresno,CA,Fresno,Fresno County,33,92988.88889,92372.72727,92275,93283.33333,97966.66667,108558.3333,126466.6667,157791.6667,202908.3333,265800,289383.3333,259050,206008.3333,165075,152641.6667,135275,133233.3333,151691.6667,171300,182291.6667,196154.5455,215350,231258.3333,243062.5
40152,Omaha,NE,Omaha-Council Bluffs,Douglas County,34,99500,96609.09091,100683.3333,102725,110116.6667,110308.3333,112075,118866.6667,130358.3333,134100,133600,134450,126716.6667,128758.3333,129091.6667,124325,126641.6667,129841.6667,132400,137958.3333,146072.7273,155183.3333,166666.6667,176212.5
23429,Albuquerque,NM,Albuquerque,Bernalillo County,35,119133.3333,122145.4545,123008.3333,126183.3333,127483.3333,129816.6667,133341.6667,135591.6667,142450,152550,174333.3333,192741.6667,194408.3333,188383.3333,183366.6667,170900,162916.6667,162691.6667,166775,172775,178418.1818,183758.3333,194075,202787.5
33225,Oklahoma City,OK,Oklahoma City,Oklahoma County,36,58177.77778,55954.54545,58300,61975,63966.66667,66975,70283.33333,76608.33333,81408.33333,86291.66667,91408.33333,95458.33333,98150,99308.33333,99958.33333,97375,95541.66667,98083.33333,100466.6667,104375,114027.2727,123591.6667,127141.6667,131125
54047,Raleigh,NC,Raleigh,Wake County,37,140511.1111,141745.4545,144308.3333,154341.6667,160600,163258.3333,165733.3333,169550,175466.6667,184541.6667,194316.6667,206616.6667,209241.6667,203533.3333,200458.3333,189541.6667,187816.6667,196258.3333,205925,215925,231172.7273,248400,262816.6667,276237.5
19331,Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,38,99733.33333,106500,112150,118966.6667,124525,130008.3333,135300,141283.3333,155050,210833.3333,249833.3333,232525,191825,149758.3333,134850,122125,135658.3333,163308.3333,174850,186166.6667,204336.3636,221641.6667,239491.6667,252450
12700,Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,39,106988.8889,110663.6364,114283.3333,123325,128283.3333,144066.6667,167083.3333,193416.6667,231091.6667,292650,344941.6667,352641.6667,284575,187741.6667,154750,149650,164775,197175,234583.3333,263283.3333,287618.1818,313241.6667,331375,338600
37211,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,40,83955.55556,94254.54545,107683.3333,129866.6667,151375,170033.3333,175258.3333,178000,186691.6667,201158.3333,213908.3333,211925,190891.6667,161083.3333,142500,121383.3333,111650,128925,153475,164391.6667,188454.5455,214116.6667,243500,259700
18795,Kansas City,MO,Kansas City,Jackson County,41,73600,78418.18182,81441.66667,87208.33333,93391.66667,100400,106708.3333,113458.3333,120216.6667,123716.6667,125841.6667,128783.3333,126008.3333,121866.6667,119208.3333,117625,114358.3333,121375,119100,109666.6667,116963.6364,126083.3333,140225,148775
4172,Colorado Springs,CO,Colorado Springs,El Paso County,42,123666.6667,126209.0909,130866.6667,138575,147875,161883.3333,170316.6667,176016.6667,180900,192958.3333,201108.3333,204400,196450,190716.6667,188875,182066.6667,184116.6667,192466.6667,200075,211316.6667,230736.3636,252016.6667,276041.6667,294350
46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,43,152300,156018.1818,169600,183358.3333,204666.6667,230333.3333,268125,331633.3333,427500,515275,563225,527025,442783.3333,390141.6667,387533.3333,358491.6667,356600,414925,454933.3333,475708.3333,519845.4545,555358.3333,584825,599112.5
41515,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,44,104288.8889,106418.1818,110891.6667,118141.6667,122416.6667,130216.6667,141166.6667,159241.6667,194575,249008.3333,276058.3333,275983.3333,264291.6667,251183.3333,244266.6667,232558.3333,231033.3333,232750,236933.3333,239941.6667,247272.7273,255466.6667,260975,267975
13072,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,45,146311.1111,152736.3636,162516.6667,178200,235616.6667,283950,321808.3333,365575,428641.6667,518316.6667,543541.6667,525033.3333,437883.3333,356700,348358.3333,325883.3333,322041.6667,403483.3333,460891.6667,534708.3333,623809.0909,693200,740583.3333,735450
20859,Tulsa,OK,Tulsa,Tulsa County,46,61755.55556,65781.81818,67900,72808.33333,77975,82191.66667,85416.66667,87808.33333,89625,91666.66667,94983.33333,96641.66667,96933.33333,96825,97241.66667,92050,90875,91683.33333,94791.66667,98666.66667,102900,112783.3333,119575,121350
5983,Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,47,78511.11111,83863.63636,90966.66667,105125,127308.3333,148125,167558.3333,187008.3333,204575,219708.3333,223516.6667,217691.6667,201983.3333,185566.6667,179858.3333,162916.6667,161791.6667,177025,191225,202533.3333,222500,240141.6667,258408.3333,267000
18615,Honolulu,HI,Urban Honolulu,Honolulu County,48,240988.8889,232654.5455,233125,231966.6667,245800,254425,270475,306441.6667,372825,459308.3333,512125,518083.3333,508608.3333,473191.6667,477366.6667,474475,479550,514941.6667,545358.3333,574200,613600,648208.3333,668791.6667,666225
24115,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,49,54322.22222,56618.18182,60583.33333,65891.66667,69883.33333,72933.33333,76258.33333,79191.66667,82833.33333,87883.33333,89600,86725,73750,57166.66667,53041.66667,42616.66667,33583.33333,32141.66667,35066.66667,36891.66667,40400,45066.66667,52625,56100
19594,New Orleans,LA,New Orleans-Metairie,Orleans Parish,50,70777.77778,75909.09091,79725,83850,88641.66667,97075,105800,117050,128966.6667,140666.6667,124916.6667,109408.3333,115858.3333,126250,133191.6667,124208.3333,111233.3333,129908.3333,146466.6667,151691.6667,168481.8182,180841.6667,183908.3333,178437.5
50763,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,51,100333.3333,102236.3636,103000,107816.6667,112975,114516.6667,117333.3333,120050,126433.3333,129666.6667,132225,134883.3333,131275,127383.3333,126875,121975,120333.3333,124633.3333,132316.6667,142116.6667,159018.1818,177641.6667,195725,208987.5
25428,Knoxville,TN,Knoxville,Knox County,52,78966.66667,82318.18182,85341.66667,87358.33333,90458.33333,93158.33333,96300,101958.3333,109858.3333,121475,130225,135283.3333,133516.6667,132291.6667,130283.3333,124033.3333,120966.6667,123766.6667,129141.6667,133258.3333,138872.7273,150275,162375,173262.5
44055,Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,53,64011.11111,66827.27273,81175,91916.66667,97041.66667,101391.6667,106983.3333,108183.3333,111741.6667,121200,137500,148016.6667,150225,148825,148858.3333,142691.6667,139641.6667,139858.3333,140450,143325,148427.2727,150791.6667,164233.3333,164487.5
7929,Wichita,KS,Wichita,Sedgwick County,54,58722.22222,63854.54545,77591.66667,84333.33333,86166.66667,90475,92366.66667,92283.33333,97358.33333,103066.6667,102725,106550,107850,109383.3333,108558.3333,104108.3333,100708.3333,100400,102300,104433.3333,107518.1818,115841.6667,122908.3333,128150
41176,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,55,59888.88889,62154.54545,65633.33333,70083.33333,77708.33333,85916.66667,94941.66667,110533.3333,131258.3333,166958.3333,200200,198266.6667,164700,123666.6667,104050,88958.33333,86541.66667,98108.33333,117033.3333,131758.3333,157236.3636,188458.3333,212858.3333,221225
16846,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,56,111388.8889,116945.4545,125158.3333,137933.3333,158816.6667,177316.6667,184266.6667,186616.6667,189716.6667,192208.3333,189658.3333,182358.3333,165883.3333,159025,157558.3333,146691.6667,150883.3333,172708.3333,192508.3333,229000,263554.5455,290900,316425,328500
47401,Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,57,118144.4444,119018.1818,127241.6667,136791.6667,149166.6667,166150,190300,226716.6667,305183.3333,381325,421266.6667,392591.6667,309658.3333,228200,212958.3333,208008.3333,208925,252158.3333,292458.3333,316458.3333,341790.9091,369175,396650,410300
3506,Bakersfield,CA,Bakersfield,Kern County,58,104533.3333,101190.9091,103008.3333,106500,112641.6667,119158.3333,131308.3333,153891.6667,198108.3333,279941.6667,317416.6667,278150,208566.6667,162008.3333,152150,139983.3333,148358.3333,176508.3333,201958.3333,212008.3333,215972.7273,222416.6667,232500,242425
4099,Cincinnati,OH,Cincinnati,Hamilton County,59,83388.88889,85700,88975,93391.66667,98833.33333,104708.3333,109241.6667,114900,119233.3333,122466.6667,124716.6667,122841.6667,116166.6667,106600,102508.3333,100133.3333,99016.66667,98475,99908.33333,108075,114800,125250,135116.6667,145275
26529,Pittsburgh,PA,Pittsburgh,Allegheny County,60,52688.88889,52681.81818,55533.33333,58475,60441.66667,62575,66158.33333,70266.66667,74133.33333,75916.66667,77425,80008.33333,82241.66667,82450,82958.33333,81383.33333,79241.66667,83266.66667,87725,97766.66667,113490.9091,125850,144000,148450
16764,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,61,162722.2222,166290.9091,181800,194683.3333,219633.3333,247466.6667,285741.6667,351233.3333,453333.3333,537016.6667,597041.6667,564066.6667,455700,379491.6667,375291.6667,358341.6667,362825,423300,458350,486000,525181.8182,561983.3333,590358.3333,599500
47568,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange County,62,145022.2222,147863.6364,159125,166650,188166.6667,219733.3333,259691.6667,319266.6667,420166.6667,513933.3333,586283.3333,566675,437891.6667,313191.6667,304591.6667,305241.6667,313766.6667,368241.6667,396683.3333,425425,458545.4545,495975,536158.3333,550812.5
4174,Columbia,SC,Columbia,Richland County,63,72588.88889,80936.36364,93800,93975,100650,102891.6667,107600,110966.6667,115550,122291.6667,128225,131266.6667,130208.3333,125466.6667,123600,116475,110641.6667,108316.6667,108033.3333,107150,115127.2727,124083.3333,129333.3333,135175
32172,Islip,NY,New York-Newark-Jersey City,Suffolk County,64,135900,140745.4545,147741.6667,161266.6667,184775,213391.6667,258483.3333,306175,351183.3333,391325,413341.6667,402475,370358.3333,332925,325333.3333,307483.3333,300483.3333,308800,313783.3333,316225,325009.0909,340450,348633.3333,378325
12562,Marietta,GA,Atlanta-Sandy Springs-Roswell,Cobb County,65,131600,135763.6364,142583.3333,152366.6667,165391.6667,173891.6667,181241.6667,185616.6667,192658.3333,202433.3333,214875,221166.6667,212700,197666.6667,188291.6667,168300,165658.3333,181250,201841.6667,216900,237472.7273,252316.6667,275441.6667,286662.5
48215,Vancouver,WA,Portland-Vancouver-Hillsboro,Clark County,66,126200,133745.4545,131983.3333,135066.6667,138925,141466.6667,146825,154841.6667,170300,200400,236375,238666.6667,222075,197308.3333,185375,168408.3333,165658.3333,184425,203558.3333,228550,258427.2727,284216.6667,308016.6667,324400
