i,RegionName,State,Metro,CountyName,SizeRank,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
52835,Ladera Ranch,CA,Los Angeles-Long Beach-Anaheim,Orange County,1988,232155.5556,246681.8182,284308.3333,324008.3333,350175,381275,416316.6667,490516.6667,648008.3333,753958.3333,799608.3333,733358.3333,614400,573316.6667,570216.6667,533800,532483.3333,636491.6667,698083.3333,728208.3333,749709.0909,777508.3333,793716.6667,799550
45006,Dunn,NC,Dunn,Harnett County,1989,56788.88889,60290.90909,68975,75850,79550,81775,83241.66667,84100,84458.33333,84775,92600,95991.66667,95483.33333,94408.33333,91758.33333,89566.66667,90058.33333,86158.33333,92741.66667,93966.66667,97945.45455,96383.33333,112708.3333,118012.5
398868,Lower Merion,PA,Philadelphia-Camden-Wilmington,Montgomery County,1990,277933.3333,277000,281525,301050,329766.6667,371075,415800,470275,534066.6667,574783.3333,607108.3333,626733.3333,599116.6667,592091.6667,567208.3333,546950,537825,549833.3333,591300,603658.3333,604400,637216.6667,642458.3333,649512.5
25165,Holly Springs,NC,Raleigh,Wake County,1991,201455.5556,188327.2727,164533.3333,158983.3333,166633.3333,161575,174075,177066.6667,183683.3333,198266.6667,218183.3333,231558.3333,234041.6667,227050,220158.3333,215141.6667,210966.6667,222625,236675,248408.3333,264109.0909,281391.6667,294133.3333,304800
395803,Manlius,NY,Syracuse,Onondaga County,1992,116555.5556,113481.8182,115666.6667,121833.3333,129266.6667,136458.3333,142366.6667,153008.3333,162441.6667,174291.6667,182991.6667,183800,179225,171691.6667,169758.3333,164550,166608.3333,167675,173200,173750,173963.6364,188233.3333,196300,201737.5
397002,Deptford,NJ,Philadelphia-Camden-Wilmington,Gloucester County,1993,102077.7778,104481.8182,109100,112191.6667,118116.6667,124316.6667,133675,149416.6667,166300,193275,217600,221816.6667,211033.3333,192908.3333,184866.6667,168275,159600,158075,162950,163641.6667,168272.7273,175033.3333,179691.6667,185412.5
40258,Parkland,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1994,293933.3333,304427.2727,302075,306050,340458.3333,451741.6667,465916.6667,498800,559458.3333,689475,748008.3333,688716.6667,569675,480750,455466.6667,442883.3333,467433.3333,494683.3333,529200,550975,577390.9091,602791.6667,620966.6667,620787.5
10849,Clearfield,UT,Ogden-Clearfield,Davis County,1995,112344.4444,117072.7273,119783.3333,122075,126333.3333,131558.3333,132833.3333,132250,133241.6667,133583.3333,140300,159233.3333,177850,170041.6667,161841.6667,155925,146125,155575,161716.6667,161316.6667,177445.4545,199616.6667,235300,262537.5
11441,Fitchburg,WI,Madison,Dane County,1996,148811.1111,155681.8182,157816.6667,164341.6667,176858.3333,188483.3333,194600,205250,217416.6667,229966.6667,246133.3333,245225,242408.3333,231425,226258.3333,227266.6667,223458.3333,227875,238908.3333,248150,261727.2727,276266.6667,286675,298225
50554,Savage,MN,Minneapolis-St. Paul-Bloomington,Scott County,1997,122033.3333,138981.8182,140000,150875,169050,191300,215058.3333,233716.6667,249666.6667,264200,273916.6667,268525,245608.3333,227783.3333,218850,205366.6667,206241.6667,226316.6667,242683.3333,249133.3333,259609.0909,278150,293366.6667,308712.5
18311,Gloucester,MA,Boston-Cambridge-Newton,Essex County,1998,148355.5556,158300,171466.6667,194383.3333,226875,262508.3333,313933.3333,348933.3333,379341.6667,393833.3333,375575,368766.6667,340941.6667,315433.3333,314700,315408.3333,324550,328958.3333,350366.6667,371958.3333,392927.2727,424500,446916.6667,457387.5
36733,Severna Park,MD,Baltimore-Columbia-Towson,Anne Arundel County,1999,194266.6667,197963.6364,203008.3333,214833.3333,229750,258391.6667,295058.3333,343366.6667,414791.6667,503833.3333,531716.6667,518208.3333,477083.3333,437725,430475,425666.6667,426350,447100,463108.3333,472458.3333,477254.5455,499300,514183.3333,519587.5
49509,Murrells Inlet,SC,Myrtle Beach-Conway-North Myrtle Beach,Horry County,2000,96377.77778,110527.2727,115566.6667,132366.6667,138033.3333,151425,157991.6667,163375,179258.3333,210916.6667,242441.6667,248666.6667,230158.3333,201883.3333,183025,175383.3333,177466.6667,182425,188583.3333,192441.6667,202427.2727,209550,222125,232675
40831,Sequim,WA,Port Angeles,Clallam County,2001,145844.4444,149900,154925,158325,160566.6667,171766.6667,173816.6667,180250,238750,280141.6667,320283.3333,320208.3333,303066.6667,274500,253058.3333,238641.6667,225058.3333,234741.6667,241525,253291.6667,271409.0909,299841.6667,339116.6667,359750
53486,Natchitoches,LA,Natchitoches,Natchitoches Parish,2002,64633.33333,66645.45455,72400,82566.66667,82100,78758.33333,76900,77216.66667,80816.66667,87075,96716.66667,104116.6667,107333.3333,107991.6667,108091.6667,107241.6667,109891.6667,113133.3333,117341.6667,122916.6667,128563.6364,133033.3333,140033.3333,142112.5
13058,O Fallon,IL,St. Louis,Saint Clair County,2003,91366.66667,88690.90909,105450,118000,112991.6667,127475,149358.3333,156916.6667,162300,173041.6667,183375,183041.6667,179891.6667,176066.6667,170741.6667,165983.3333,164850,166158.3333,165258.3333,170150,180581.8182,186900,199558.3333,205075
36041,Medford,NY,New York-Newark-Jersey City,Suffolk County,2004,116255.5556,119418.1818,125950,137883.3333,154725,175916.6667,207833.3333,252966.6667,293675,340016.6667,359583.3333,339625,303475,270258.3333,261966.6667,239066.6667,224225,228416.6667,243475,260333.3333,264063.6364,281941.6667,299850,318350
37219,Auburn,NY,Auburn,Cayuga County,2005,57766.66667,55181.81818,53341.66667,56575,58058.33333,58750,60716.66667,65450,70433.33333,78083.33333,81858.33333,83791.66667,85800,85675,85400,83666.66667,85408.33333,87050,87050,87125,89054.54545,90766.66667,93408.33333,97787.5
395572,Bernards,NJ,New York-Newark-Jersey City,Somerset County,2006,295888.8889,300572.7273,318425,344508.3333,384100,425425,452891.6667,499833.3333,562850,627241.6667,658008.3333,638816.6667,620758.3333,591508.3333,577641.6667,568175,544750,588066.6667,619950,608450,604118.1818,629891.6667,642383.3333,637350
36288,Windsor,CA,Santa Rosa,Sonoma County,2007,190255.5556,194345.4545,207291.6667,235775,293791.6667,340958.3333,370966.6667,415775,483491.6667,575591.6667,582133.3333,529775,429191.6667,371233.3333,368450,335916.6667,342558.3333,401866.6667,458441.6667,504033.3333,544090.9091,589183.3333,636833.3333,630925
11228,East Palo Alto,CA,San Francisco-Oakland-Hayward,San Mateo County,2008,162511.1111,171100,190350,238916.6667,323125,370083.3333,392175,409050,479808.3333,563791.6667,624100,633808.3333,485733.3333,301700,275033.3333,263641.6667,296300,379308.3333,468383.3333,567641.6667,689600,797408.3333,954808.3333,950062.5
51677,Deer Park,NY,New York-Newark-Jersey City,Suffolk County,2009,139111.1111,144327.2727,151125,165541.6667,190183.3333,223116.6667,259675,303566.6667,348900,392591.6667,408533.3333,397100,364908.3333,319275,304800,288816.6667,293000,283041.6667,293266.6667,304283.3333,304245.4545,321908.3333,348741.6667,375562.5
13752,Sebastian,FL,Sebastian-Vero Beach,Indian River County,2010,58033.33333,62545.45455,64991.66667,68825,78983.33333,96525,103408.3333,114825,158508.3333,214075,230033.3333,197966.6667,156958.3333,137091.6667,130341.6667,114616.6667,111675,126191.6667,141650,152975,169609.0909,188316.6667,210033.3333,219050
54009,Princeton,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2011,87122.22222,88054.54545,87958.33333,92008.33333,96183.33333,104608.3333,118850,142183.3333,169875,212266.6667,264491.6667,282225,237291.6667,141408.3333,104933.3333,100233.3333,97616.66667,115783.3333,139541.6667,163116.6667,197481.8182,228741.6667,249758.3333,266512.5
27227,Springfield,TN,Nashville-Davidson--Murfreesboro--Franklin,Robertson County,2012,74377.77778,76390.90909,79683.33333,83866.66667,87175,90708.33333,94808.33333,99941.66667,99525,108958.3333,119875,121900,122575,117708.3333,116525,112008.3333,108791.6667,108816.6667,114116.6667,122966.6667,137627.2727,151466.6667,165358.3333,175450
46984,Paramus,NJ,New York-Newark-Jersey City,Bergen County,2013,248144.4444,255881.8182,264000,288725,324183.3333,352275,397083.3333,448366.6667,508358.3333,578741.6667,618233.3333,600933.3333,567050,531400,519841.6667,501341.6667,501125,515258.3333,531891.6667,545808.3333,545581.8182,580875,602775,597600
5719,Lucedale,MS,,George County,2014,79200,79745.45455,77508.33333,76025,76066.66667,76166.66667,78591.66667,81741.66667,86583.33333,96891.66667,122566.6667,129075,123433.3333,123391.6667,123608.3333,117475,118583.3333,114008.3333,107766.6667,119116.6667,144790.9091,140000,139358.3333,139137.5
398003,Ocean,NJ,New York-Newark-Jersey City,Monmouth County,2015,170000,174309.0909,180925,191200,213016.6667,245575,281716.6667,324108.3333,374225,432583.3333,462733.3333,459625,427650,389141.6667,372341.6667,349783.3333,342633.3333,351216.6667,367075,384075,391100,415375,457258.3333,487350
15560,Magna,UT,Salt Lake City,Salt Lake County,2016,107988.8889,111418.1818,117133.3333,117558.3333,124833.3333,131233.3333,131075,128783.3333,129158.3333,129300,141941.6667,164883.3333,180658.3333,169458.3333,155258.3333,137425,134875,150966.6667,159275,172100,193154.5455,218966.6667,256666.6667,280312.5
25157,Holladay,UT,Salt Lake City,Salt Lake County,2017,237133.3333,241809.0909,241150,240850,247133.3333,249241.6667,249116.6667,256050,259391.6667,269116.6667,311041.6667,379416.6667,407141.6667,372400,327325,300358.3333,316008.3333,335033.3333,351091.6667,377083.3333,406136.3636,454566.6667,498666.6667,524725
5498,Lake in the Hills,IL,Chicago-Naperville-Elgin,McHenry County,2018,152888.8889,153518.1818,157441.6667,165016.6667,171966.6667,184183.3333,199200,213333.3333,227200,242616.6667,255750,251633.3333,230075,201550,185041.6667,167866.6667,159066.6667,163991.6667,177308.3333,185458.3333,192681.8182,204933.3333,223258.3333,232437.5
29786,Riverhead,NY,New York-Newark-Jersey City,Suffolk County,2019,112477.7778,119409.0909,123308.3333,129800,137666.6667,164541.6667,199683.3333,258658.3333,307925,368925,388925,378391.6667,349433.3333,312958.3333,297325,283500,264783.3333,272625,289350,296783.3333,317345.4545,340991.6667,365166.6667,383737.5
30312,Avon Park,FL,Sebring,Highlands County,2020,47522.22222,50663.63636,55733.33333,60300,60108.33333,58016.66667,62866.66667,69058.33333,80333.33333,104075,133375,129400,111325,85450,75441.66667,64208.33333,60125,62475,66183.33333,68400,77454.54545,86875,107233.3333,116200
26399,Parkland,WA,Seattle-Tacoma-Bellevue,Pierce County,2021,109788.8889,111072.7273,115883.3333,123341.6667,129508.3333,135716.6667,141300,151500,167333.3333,196558.3333,228008.3333,235666.6667,218383.3333,192816.6667,177241.6667,159166.6667,150858.3333,156825,170250,186575,211918.1818,239241.6667,265458.3333,284887.5
33291,Oxford,OH,Cincinnati,Butler County,2022,102822.2222,114300,125925,128325,135875,140950,145266.6667,152125,159808.3333,170175,178558.3333,179450,169708.3333,156366.6667,150475,140058.3333,147316.6667,151200,149125,156216.6667,158445.4545,169200,186800,201637.5
49478,Madisonville,KY,Madisonville,Hopkins County,2023,54888.88889,57381.81818,60841.66667,62350,62975,65141.66667,69183.33333,70241.66667,72400,76158.33333,80908.33333,82858.33333,82483.33333,84783.33333,85800,85083.33333,83866.66667,85241.66667,85866.66667,89475,93300,94608.33333,97100,101512.5
5265,Imperial Beach,CA,San Diego-Carlsbad,San Diego County,2024,130255.5556,132290.9091,140800,154358.3333,179366.6667,220166.6667,275575,346733.3333,451516.6667,505366.6667,483691.6667,447750,376800,296525,281050,285866.6667,287141.6667,335208.3333,378941.6667,425325,480400,540466.6667,595075,606800
52990,Lithia Springs,GA,Atlanta-Sandy Springs-Roswell,Douglas County,2025,83844.44444,87927.27273,90933.33333,98141.66667,105950,116350,121091.6667,128950,133000,133616.6667,136433.3333,140533.3333,128616.6667,104791.6667,90566.66667,68750,67183.33333,72141.66667,81800,100933.3333,115072.7273,124791.6667,139816.6667,150962.5
38645,Garden City,MI,Detroit-Warren-Dearborn,Wayne County,2026,84744.44444,90127.27273,97875,106458.3333,117216.6667,127891.6667,131491.6667,136575,142600,144291.6667,140475,130900,109341.6667,80133.33333,65850,59308.33333,55216.66667,60375,74608.33333,82675,88018.18182,99191.66667,117858.3333,125275
21161,Warrensburg,MO,Warrensburg,Johnson County,2027,94044.44444,100490.9091,107116.6667,112425,116125,120041.6667,123816.6667,124958.3333,130341.6667,142616.6667,147866.6667,149433.3333,146716.6667,143841.6667,142233.3333,139441.6667,143725,160908.3333,156691.6667,158191.6667,156181.8182,159191.6667,165491.6667,179937.5
54754,Tualatin,OR,Portland-Vancouver-Hillsboro,Washington County,2028,184433.3333,189927.2727,189816.6667,201275,205200,209308.3333,220666.6667,236316.6667,253933.3333,293783.3333,350725,368758.3333,338666.6667,313758.3333,294816.6667,273091.6667,273583.3333,303883.3333,328233.3333,353283.3333,401863.6364,434308.3333,453141.6667,461137.5
51718,Dickson,TN,Nashville-Davidson--Murfreesboro--Franklin,Dickson County,2029,63866.66667,69709.09091,77283.33333,80341.66667,84441.66667,85408.33333,84358.33333,85025,86808.33333,97525,105441.6667,110466.6667,114175,109316.6667,109258.3333,106366.6667,105225,108133.3333,114400,120200,131563.6364,146291.6667,156191.6667,169900
29443,Woodburn,OR,Salem,Marion County,2030,97266.66667,103881.8182,112233.3333,123000,119775,123983.3333,128658.3333,136750,141783.3333,154483.3333,184483.3333,203716.6667,193241.6667,171625,153100,132200,128200,129908.3333,151041.6667,170308.3333,195554.5455,226550,255441.6667,271800
37652,Burbank,IL,Chicago-Naperville-Elgin,Cook County,2031,127455.5556,115727.2727,122325,132141.6667,139333.3333,146633.3333,159516.6667,174625,197183.3333,230483.3333,246725,245925,217375,184050,164983.3333,145258.3333,130591.6667,136275,145608.3333,151433.3333,160963.6364,170808.3333,180125,192825
55288,Yorkville,IL,Chicago-Naperville-Elgin,Kendall County,2032,156344.4444,149781.8182,158008.3333,170825,178875,188808.3333,196233.3333,216441.6667,234991.6667,255975,269791.6667,266866.6667,245816.6667,222100,205741.6667,190250,184033.3333,195025,205583.3333,212941.6667,225127.2727,232791.6667,243575,251887.5
10343,Belmont,CA,San Francisco-Oakland-Hayward,San Mateo County,2033,357044.4444,408890.9091,466150,524341.6667,650033.3333,686116.6667,673283.3333,695791.6667,808216.6667,919083.3333,921208.3333,944066.6667,895816.6667,834133.3333,826791.6667,812208.3333,869791.6667,1053991.667,1218791.667,1428016.667,1547463.636,1621308.333,1778833.333,1705412.5
39897,Mount Pleasant,TX,Mount Pleasant,Titus County,2034,60755.55556,65645.45455,72183.33333,75016.66667,77725,78850,80833.33333,84833.33333,89458.33333,87475,90650,89583.33333,90691.66667,89041.66667,88666.66667,86908.33333,87783.33333,91191.66667,96850,101500,105218.1818,110550,117016.6667,119762.5
44318,Bristow,VA,Washington-Arlington-Alexandria,Prince William County,2035,196077.7778,196981.8182,203491.6667,212908.3333,234275,278991.6667,323050,357600,417325,519458.3333,528500,449175,372658.3333,339150,352783.3333,348433.3333,363975,399958.3333,414075,417608.3333,422918.1818,439133.3333,459175,463850
12515,Mahwah,NJ,New York-Newark-Jersey City,Bergen County,2036,209655.5556,213409.0909,232333.3333,257083.3333,280625,310866.6667,350066.6667,386133.3333,430325,490300,511458.3333,493258.3333,475675,446491.6667,436100,408850,386341.6667,410408.3333,422583.3333,427083.3333,440590.9091,462783.3333,469100,466600
4502,Easton,PA,Allentown-Bethlehem-Easton,Northampton County,2037,74000,76572.72727,78950,73975,67383.33333,72516.66667,75591.66667,79966.66667,89216.66667,104175,122433.3333,127708.3333,124041.6667,114533.3333,112000,98408.33333,89833.33333,77041.66667,78483.33333,83033.33333,89436.36364,99983.33333,113700,114762.5
32997,Mountain Home,AR,Mountain Home,Baxter County,2038,73622.22222,73236.36364,79850,83383.33333,86600,86766.66667,84975,88250,98616.66667,117458.3333,132200,133441.6667,126133.3333,120675,123533.3333,118950,114308.3333,117550,118800,121233.3333,118845.4545,122025,130333.3333,135687.5
41341,Uniondale,NY,New York-Newark-Jersey City,Nassau County,2039,137377.7778,141827.2727,149675,163150,180075,198950,231941.6667,268775,308108.3333,358600,394200,405816.6667,365333.3333,307525,277200,254525,246541.6667,248125,257091.6667,287933.3333,324572.7273,344783.3333,366716.6667,382050
31540,Farmington,MN,Minneapolis-St. Paul-Bloomington,Dakota County,2040,112222.2222,116136.3636,118525,134216.6667,162025,179233.3333,201425,212083.3333,235566.6667,252308.3333,254575,247025,226558.3333,210033.3333,199883.3333,176183.3333,178783.3333,202233.3333,218958.3333,229816.6667,244909.0909,260183.3333,276866.6667,287362.5
7327,Superior,WI,Duluth,Douglas County,2041,83200,82118.18182,80366.66667,85666.66667,89775,93958.33333,100483.3333,103166.6667,99466.66667,104950,105291.6667,111008.3333,111316.6667,107250,104666.6667,98833.33333,98600,102133.3333,107358.3333,108233.3333,112072.7273,117808.3333,120025,124975
3905,Burton,MI,Flint,Genesee County,2042,72211.11111,77690.90909,80333.33333,77125,81041.66667,87500,90075,93600,101141.6667,104116.6667,103425,95133.33333,74941.66667,58925,51325,41700,36250,41825,53075,58175,64781.81818,72033.33333,82058.33333,89750
50720,Americus,GA,Americus,Sumter County,2043,49044.44444,50345.45455,51850,57191.66667,60816.66667,63041.66667,64966.66667,67625,68666.66667,75466.66667,78316.66667,80158.33333,79758.33333,79016.66667,79533.33333,75375,72458.33333,69708.33333,72266.66667,74733.33333,72536.36364,73383.33333,79250,80550
22249,Oxford,NC,Oxford,Granville County,2044,59555.55556,63309.09091,70725,75700,81916.66667,87166.66667,87033.33333,92025,89400,96116.66667,104633.3333,106600,106075,102958.3333,101900,92000,92050,91975,93608.33333,94383.33333,96363.63636,104050,114175,125837.5
24739,Foley,AL,Daphne-Fairhope-Foley,Baldwin County,2045,71022.22222,76872.72727,82766.66667,101016.6667,113566.6667,108766.6667,120308.3333,118066.6667,129508.3333,146458.3333,168533.3333,172775,161975,139791.6667,124033.3333,118633.3333,128975,129625,137966.6667,142916.6667,149427.2727,149841.6667,162125,172112.5
6067,Mount Dora,FL,Orlando-Kissimmee-Sanford,Lake County,2046,96155.55556,96609.09091,103058.3333,109075,120525,125658.3333,131850,139883.3333,155916.6667,200100,234491.6667,224325,187175,155258.3333,144283.3333,132091.6667,131350,140883.3333,151700,162858.3333,176063.6364,197658.3333,223216.6667,235012.5
40780,Schererville,IN,Chicago-Naperville-Elgin,Lake County,2047,141888.8889,142954.5455,125125,117833.3333,138925,165591.6667,175558.3333,172691.6667,176425,182733.3333,186083.3333,191291.6667,197866.6667,199833.3333,201908.3333,191525,187275,186250,192325,193283.3333,205300,216316.6667,225900,240800
15050,Bedford,IN,Bedford,Lawrence County,2048,78044.44444,68318.18182,70716.66667,71516.66667,73350,77391.66667,79225,81133.33333,82950,86891.66667,83658.33333,79416.66667,77850,75250,73250,71441.66667,70666.66667,70983.33333,72600,74075,75827.27273,79508.33333,92341.66667,100362.5
53381,Monroe,NC,Charlotte-Concord-Gastonia,Union County,2049,85566.66667,85463.63636,88175,98041.66667,105850,106608.3333,108875,113458.3333,116950,120866.6667,129175,133733.3333,130900,123691.6667,117850,109700,104391.6667,111866.6667,121225,128150,137763.6364,148425,165383.3333,178975
54619,Sun City West,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2050,135344.4444,137981.8182,140350,144350,143983.3333,144858.3333,146716.6667,152108.3333,169033.3333,233508.3333,262191.6667,229275,191925,168408.3333,159875,149116.6667,158800,168166.6667,171391.6667,180400,199200,216808.3333,238175,251250
8587,Huntley,IL,Chicago-Naperville-Elgin,McHenry County,2051,170933.3333,167236.3636,167708.3333,186950,213591.6667,231158.3333,237925,242608.3333,249908.3333,262858.3333,272975,276325,252358.3333,228158.3333,216958.3333,201400,196641.6667,203600,213400,215808.3333,226354.5455,246291.6667,261250,267575
42648,Roanoke Rapids,NC,Roanoke Rapids,Halifax County,2052,57077.77778,61790.90909,65216.66667,64550,66641.66667,69000,72225,74475,76833.33333,78300,86633.33333,92883.33333,89816.66667,86083.33333,82216.66667,78983.33333,76716.66667,76741.66667,78833.33333,80100,80736.36364,86716.66667,88983.33333,95750
397337,Horsham,PA,Philadelphia-Camden-Wilmington,Montgomery County,2053,153333.3333,152845.4545,154375,164333.3333,174383.3333,188466.6667,210083.3333,241891.6667,272916.6667,305541.6667,320325,317458.3333,304066.6667,288566.6667,287150,271925,271950,283116.6667,288475,290533.3333,302381.8182,313841.6667,332100,341862.5
32104,Hudson,WI,Minneapolis-St. Paul-Bloomington,Saint Croix County,2054,114188.8889,132818.1818,141316.6667,167175,196791.6667,210283.3333,223608.3333,238150,247450,264383.3333,272075,270058.3333,250983.3333,238675,234575,223925,225783.3333,236758.3333,254433.3333,262683.3333,279927.2727,303525,325550,340300
24325,Dawsonville,GA,Atlanta-Sandy Springs-Roswell,Dawson County,2055,86111.11111,92536.36364,105891.6667,116166.6667,127183.3333,136016.6667,146066.6667,141466.6667,165475,178708.3333,189341.6667,195825,187550,171500,162483.3333,146941.6667,145458.3333,154291.6667,165416.6667,176433.3333,185554.5455,204300,222033.3333,238287.5
31117,Crosby,TX,Houston-The Woodlands-Sugar Land,Harris County,2056,92433.33333,91963.63636,94791.66667,104608.3333,104183.3333,102558.3333,106383.3333,108750,117266.6667,124100,128175,133425,132225,124883.3333,128408.3333,123833.3333,121241.6667,125516.6667,131700,144733.3333,160945.4545,177158.3333,184708.3333,193275
5339,Jenison,MI,Grand Rapids-Wyoming,Ottawa County,2057,100766.6667,114454.5455,121666.6667,126500,131300,133991.6667,135308.3333,140125,145725,149783.3333,149483.3333,144033.3333,136416.6667,129733.3333,128058.3333,119408.3333,122433.3333,133591.6667,142166.6667,151441.6667,163345.4545,176641.6667,189791.6667,201987.5
32753,Maywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2058,138166.6667,138636.3636,140791.6667,144008.3333,152400,164741.6667,179966.6667,211158.3333,271125,359841.6667,424491.6667,431983.3333,363141.6667,258533.3333,228908.3333,216541.6667,235400,258008.3333,299958.3333,330116.6667,351645.4545,385708.3333,410716.6667,424500
24303,Dahlonega,GA,,Lumpkin County,2059,65011.11111,69918.18182,89458.33333,99983.33333,107433.3333,121041.6667,127550,133391.6667,146341.6667,159025,170416.6667,175591.6667,177583.3333,163075,159775,136375,136383.3333,146841.6667,155566.6667,166408.3333,176272.7273,187891.6667,196816.6667,211975
40613,Rockville Centre,NY,New York-Newark-Jersey City,Nassau County,2060,245355.5556,258090.9091,286308.3333,319275,357083.3333,391133.3333,440808.3333,503941.6667,569125,626366.6667,637383.3333,623100,592025,551733.3333,542700,522183.3333,524958.3333,542550,559283.3333,594283.3333,634609.0909,660175,672875,667525
34393,University Park,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2061,126744.4444,128790.9091,131141.6667,135858.3333,143891.6667,158291.6667,180425,215900,262266.6667,335450,400458.3333,413233.3333,317033.3333,208391.6667,178033.3333,174908.3333,178741.6667,195925,229933.3333,262725,308290.9091,337141.6667,359533.3333,371787.5
39074,Huntington,IN,Huntington,Huntington County,2062,44211.11111,48190.90909,54925,61308.33333,65908.33333,73375,77516.66667,78091.66667,80058.33333,87933.33333,89383.33333,89508.33333,87625,84800,82916.66667,80275,77875,77658.33333,79275,80616.66667,82145.45455,84625,91200,98862.5
26391,Park City,UT,Summit Park,Summit County,2063,317200,337481.8182,374483.3333,384950,435358.3333,452575,431025,381325,392258.3333,444566.6667,538341.6667,609750,592508.3333,539616.6667,508375,479891.6667,482908.3333,517900,550575,585900,646954.5455,682400,721350,792612.5
16385,Salem,OH,Salem,Columbiana County,2064,70355.55556,70318.18182,74483.33333,82675,84683.33333,84383.33333,85925,89875,91925,94225,95033.33333,95566.66667,91300,88491.66667,82533.33333,76941.66667,82058.33333,82325,87233.33333,91108.33333,93236.36364,96833.33333,103758.3333,107325
7739,Wakefield,MA,Boston-Cambridge-Newton,Middlesex County,2065,180044.4444,189472.7273,204066.6667,230816.6667,268608.3333,304183.3333,336025,369925,398175,418116.6667,402858.3333,383391.6667,369916.6667,362550,367808.3333,355866.6667,366791.6667,390491.6667,412400,431508.3333,459163.6364,504116.6667,528316.6667,537262.5
14599,Wethersfield,CT,Hartford-West Hartford-East Hartford,Hartford County,2066,134544.4444,135136.3636,141091.6667,149641.6667,161175,171883.3333,189283.3333,208716.6667,236150,258200,267566.6667,266775,254766.6667,246608.3333,242125,228375,227283.3333,227108.3333,232666.6667,229500,233236.3636,243000,243991.6667,245412.5
52216,Gladstone,MO,Kansas City,Clay County,2067,89733.33333,94545.45455,98466.66667,105183.3333,109183.3333,117808.3333,125741.6667,132591.6667,136600,136733.3333,138200,139458.3333,135433.3333,135050,128700,124233.3333,121133.3333,120658.3333,123675,127033.3333,132954.5455,146533.3333,155075,163025
19429,Monroe,WA,Seattle-Tacoma-Bellevue,Snohomish County,2068,150088.8889,157818.1818,170591.6667,185666.6667,198433.3333,206025,213308.3333,223525,240483.3333,274266.6667,321841.6667,342383.3333,319375,283400,259575,226766.6667,218825,245441.6667,273716.6667,302300,335718.1818,377300,417016.6667,431537.5
50946,Bella Vista,AR,Fayetteville-Springdale-Rogers,Benton County,2069,94411.11111,99109.09091,92341.66667,99925,108583.3333,116283.3333,120083.3333,125441.6667,134375,141016.6667,151925,149716.6667,142500,132308.3333,128941.6667,123733.3333,124041.6667,131675,134316.6667,137650,143536.3636,156875,164283.3333,175037.5
12355,Leesville,LA,Fort Polk South,Vernon Parish,2070,54966.66667,58681.81818,59400,58391.66667,58883.33333,60566.66667,62525,67133.33333,69841.66667,72541.66667,75291.66667,79758.33333,80725,81275,83275,81741.66667,78366.66667,79491.66667,82466.66667,87008.33333,91490.90909,94458.33333,99141.66667,98150
14959,Balch Springs,TX,Dallas-Fort Worth-Arlington,Dallas County,2071,56188.88889,56863.63636,58358.33333,63700,70050,72833.33333,76941.66667,80625,87041.66667,90675,89883.33333,90158.33333,84683.33333,79800,76583.33333,71325,68066.66667,70225,71266.66667,78925,90690.90909,115833.3333,137541.6667,155850
395586,Sun Prairie,WI,Madison,Dane County,2072,139333.3333,136872.7273,135791.6667,141083.3333,148658.3333,157358.3333,165358.3333,179750,188391.6667,190691.6667,201558.3333,200766.6667,197758.3333,191900,190783.3333,184075,178650,182958.3333,190575,199391.6667,223781.8182,245291.6667,257625,265487.5
48964,Alton,IL,St. Louis,Madison County,2073,37544.44444,41727.27273,39300,47783.33333,48608.33333,47966.66667,53441.66667,57600,61233.33333,64966.66667,67333.33333,67558.33333,66525,64091.66667,67158.33333,58941.66667,56466.66667,56133.33333,53800,52116.66667,54454.54545,55466.66667,59891.66667,60112.5
44862,Darlington,SC,Florence,Darlington County,2074,26066.66667,27500,32900,39758.33333,45691.66667,50175,57208.33333,57758.33333,61475,61583.33333,64775,67525,65458.33333,66666.66667,65416.66667,61566.66667,60083.33333,61350,61625,64308.33333,66281.81818,67833.33333,63766.66667,64975
47942,Takoma Park,MD,Washington-Arlington-Alexandria,Montgomery County,2075,148177.7778,145636.3636,151025,162883.3333,178566.6667,204475,252333.3333,308058.3333,357075,418700,440391.6667,439308.3333,415475,379766.6667,386583.3333,394566.6667,398608.3333,422816.6667,446183.3333,452325,473490.9091,491441.6667,516050,531462.5
52922,Leesburg,GA,Albany,Lee County,2076,76700,87081.81818,95000,99050,107933.3333,114016.6667,115425,121050,124941.6667,132483.3333,142100,147725,147058.3333,141108.3333,138625,138525,139141.6667,139091.6667,138683.3333,136475,136181.8182,139233.3333,146833.3333,170062.5
29408,Vincennes,IN,Vincennes,Knox County,2077,72677.77778,65163.63636,65358.33333,66275,68375,72508.33333,76533.33333,78158.33333,79358.33333,82325,83775,84225,77900,66916.66667,65516.66667,64450,64483.33333,66133.33333,69808.33333,73208.33333,75545.45455,79700,89075,94187.5
